date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2016-01-01 00:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,9,10,9,6,54,65,0.0,1025,9,10,70,5
2016-01-01 01:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,9,9,9,7,65,66,0.0,1024,9,10,71,5
2016-01-01 02:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,9,9,9,7,77,67,0.0,1024,9,10,73,5
2016-01-01 03:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,8,9,8,7,89,68,0.0,1024,8,10,74,5
2016-01-01 04:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,8,8,8,8,79,68,0.0,1024,8,10,64,6
2016-01-01 05:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,7,8,7,8,68,69,0.0,1025,8,10,54,7
2016-01-01 06:00:00,10,5,0.0,5.4,3,3,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,7,8,7,9,58,70,0.0,1025,8,10,45,7
2016-01-01 07:00:00,10,5,0.0,5.4,3,3,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,7,8,7,9,70,73,0.0,1026,7,7,43,7
2016-01-01 08:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,6,8,6,9,81,75,0.1,1027,7,5,41,7
2016-01-01 09:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,6,8,6,9,93,78,0.2,1028,7,2,39,8
2016-01-01 10:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,7,8,7,10,86,76,0.1,1028,8,5,34,8
2016-01-01 11:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,7,8,7,11,78,74,0.0,1029,8,7,30,9
2016-01-01 12:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,7,9,7,12,71,73,0.0,1029,9,10,26,10
2016-01-01 13:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,8,9,8,12,68,72,0.0,1028,9,10,37,11
2016-01-01 14:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,5,8,10,8,13,66,71,0.0,1027,9,10,48,11
2016-01-01 15:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,5,8,10,8,13,63,70,0.0,1026,10,10,59,12
2016-01-01 16:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,5,7,9,7,13,75,74,0.0,1027,9,7,60,11
2016-01-01 17:00:00,10,5,0.0,5.4,3,2,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,5,6,8,6,12,88,78,0.1,1027,8,5,62,11
2016-01-01 18:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,5,5,7,5,12,100,82,0.1,1027,7,2,64,10
2016-01-01 19:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,5,7,5,11,100,83,0.1,1028,7,4,58,9
2016-01-01 20:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,4,4,6,4,10,100,84,0.4,1029,6,7,52,9
2016-01-01 21:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,4,6,4,10,100,85,0.5,1030,5,9,46,8
2016-01-01 22:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,4,5,4,8,100,85,0.2,1030,5,9,31,7
2016-01-01 23:00:00,10,5,0.0,5.4,3,1,50,12:59 AM,01:17 PM,08:27 AM,07:02 PM,3,4,5,4,7,100,85,0.0,1030,5,10,17,6
2016-01-02 00:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,85,0.0,1030,5,10,3,5
2016-01-02 01:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,86,0.0,1030,5,10,12,5
2016-01-02 02:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,87,0.6,1029,5,9,21,5
2016-01-02 03:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,88,0.8,1028,5,9,31,5
2016-01-02 04:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,89,0.4,1028,4,9,48,5
2016-01-02 05:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,91,0.0,1028,4,10,65,5
2016-01-02 06:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,3,5,3,7,100,92,0.0,1028,4,10,82,6
2016-01-02 07:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,3,5,3,7,100,91,0.0,1028,4,9,72,6
2016-01-02 08:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,3,5,3,7,100,91,1.0,1028,4,8,63,6
2016-01-02 09:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,7,100,90,1.3,1028,5,7,54,6
2016-01-02 10:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,91,0.7,1028,4,8,64,5
2016-01-02 11:00:00,5,4,0.0,5.4,1,1,43,01:49 AM,01:52 PM,08:28 AM,07:03 PM,3,4,5,4,6,100,91,0.0,1028,4,9,73,5
